"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00543007294514085,0.333140179418623,0.311,0.16,1,"1","PBRM1"
0.00543101152798521,0.521435239366386,0.6,0.39,1,"1","SMDT1"
0.00544415534045939,0.52418203659642,0.6,0.414,1,"1","SPCS1"
0.00545342351601961,0.39888814202983,0.467,0.289,1,"1","PHPT1"
0.00562182813476879,0.885481285106994,0.389,0.241,1,"1","RALA"
0.00563202726836537,1.20308019804791,0.267,0.144,1,"1","PGM2L1"
0.00581532953597216,0.459352358931868,0.356,0.203,1,"1","DNAJC3"
0.00586402625296018,0.635140088916535,0.467,0.302,1,"1","NDFIP1"
0.0059280193329517,0.291102643795664,0.911,0.773,1,"1","PNRC1"
0.00593640289002902,0.288399350771745,0.367,0.195,1,"1","TRIM22"
0.00615542963815504,0.760651229617564,0.3,0.163,1,"1","NGLY1"
0.00615929113193956,0.293434947874611,0.311,0.163,1,"1","CNOT4"
0.00623257614378732,0.566392367816186,0.3,0.168,1,"1","TLE3"
0.00624643071260217,0.542836202224233,0.578,0.428,1,"1","SLC2A3"
0.00630120137474036,0.872866116810227,0.289,0.158,1,"1","HIBCH"
0.0063383053429847,0.400805779560887,0.389,0.225,1,"1","FRG1"
0.00641268413713284,0.457864410091651,0.4,0.227,1,"1","PRKAR1A"
0.00658462611403548,0.273828182131697,0.411,0.243,1,"1","BIRC2"
0.00661349725291525,0.441278713766725,0.433,0.262,1,"1","CAPZA2"
0.00664050735225499,0.305736198712391,0.311,0.166,1,"1","KLRB1"
0.00665797492660023,0.383878690300117,0.5,0.324,1,"1","PPA1"
0.00667092876808659,0.634185884900051,0.544,0.385,1,"1","NDUFV2"
0.00667363102239353,0.262519482138456,0.456,0.267,1,"1","FOXP1"
0.00669017564957544,0.505700094988761,0.411,0.235,1,"1","DGUOK"
0.00676544670889376,0.379936735795283,0.422,0.254,1,"1","AZIN1"
0.00688850239808528,0.841131819368435,0.278,0.15,1,"1","EMC6"
0.0070075468425264,0.530035663172857,0.567,0.412,1,"1","PSMB3"
0.0071463825351519,0.47751601295752,0.356,0.201,1,"1","TOPORS"
0.00720424470398741,0.370041767979221,0.589,0.404,1,"1","FAM177A1"
0.00730031843880894,0.722753493871029,0.389,0.246,1,"1","STAT1"
0.0073330353734113,0.533138439320187,0.744,0.564,1,"1","CYCS"
0.00735999533236804,0.77430655415531,0.289,0.16,1,"1","PFDN1"
0.00743207760748286,1.30320262289065,0.278,0.155,1,"1","TWISTNB"
0.00754226464767342,0.326854720367206,1,0.997,1,"1","TMSB10"
0.00759188226271209,0.36116868896405,0.378,0.206,1,"1","ABI1"
0.0076085924228828,0.877789269605387,0.467,0.324,1,"1","GSTO1"
0.00787980384902421,0.693510403747484,0.333,0.201,1,"1","SRA1"
0.00807512760684047,0.469731527290158,0.433,0.265,1,"1","ZFAND6"
0.00815330331868789,0.609035417045599,0.311,0.168,1,"1","RPAIN"
0.00816380678198507,0.62371104847102,0.289,0.16,1,"1","MEF2A"
0.00822140816624022,0.355362778535037,0.522,0.321,1,"1","MRPS21"
0.00825816585072348,0.324970757217668,0.611,0.396,1,"1","HNRNPH3"
0.00827462657503653,0.727970017444201,0.578,0.447,1,"1","ARID5B"
0.00833206470528362,0.311805376312083,0.889,0.805,1,"1","RPS10"
0.00887128989876029,2.80048991437279,0.356,0.225,1,"1","APOC1"
0.00892894253264083,0.664402005792641,0.3,0.174,1,"1","STX11"
0.00893588898857247,0.301196879470555,0.867,0.703,1,"1","EDF1"
0.00903758806742255,0.344321352303752,0.256,0.134,1,"1","NUDT22"
0.00907379818698097,0.693925037046789,0.656,0.463,1,"1","HERPUD1"
0.00911929869802474,0.703517048533199,0.256,0.136,1,"1","APP"
0.00938128555815352,0.557718264321145,0.322,0.187,1,"1","IGBP1"
0.00940692611340112,0.372804910441468,0.611,0.422,1,"1","CSDE1"
0.00940807132980435,0.510358070786713,0.311,0.182,1,"1","MAF1"
0.0094541683458901,0.549511748093687,0.3,0.166,1,"1","DNM1L"
0.00952211232574795,0.255820195120935,0.611,0.409,1,"1","TRA2A"
0.00963891128661642,0.417956406373602,0.356,0.214,1,"1","PDXK"
0.0096753605654804,0.335153121663794,0.544,0.35,1,"1","DNAJC8"
0.00969625115466764,0.371262203235581,0.611,0.409,1,"1","HSPA9"
0.00983593977529921,0.906550134313254,0.289,0.163,1,"1","CRYBG1"
0.00993692932721572,0.607965154077263,0.344,0.201,1,"1","CARHSP1"
0.0099517994458614,0.473178695257818,0.267,0.139,1,"1","CD2AP"
0.00999721978514344,0.251169093595654,0.633,0.425,1,"1","HLA-F"
8.69194993298883e-76,7.83380559086092,0.831,0.016,1.86685700660734e-71,"2","AKR1C2"
1.06582601488264e-72,7.34074015841887,0.831,0.024,2.28918111476493e-68,"2","AKR1C1"
8.08427454523871e-68,5.65567640059469,0.867,0.052,1.73634048682637e-63,"2","CTTN"
1.20026041612889e-58,5.90368934570749,0.928,0.142,2.57791932176163e-54,"2","ELF3"
2.17990359418735e-55,4.98353149252607,0.88,0.123,4.6819969395956e-51,"2","KRT18"
3.56692063924794e-50,8.37744416027519,0.554,0.005,7.66103214897673e-46,"2","CALML5"
6.21021588015761e-50,5.73611999854058,0.651,0.031,1.33383016674025e-45,"2","NQO1"
8.53202242401845e-49,4.29373590417948,0.843,0.131,1.83250777623068e-44,"2","KRT8"
1.91608559353385e-48,4.83457056104149,0.819,0.126,4.115368637792e-44,"2","CLDN4"
5.57970064721793e-48,6.14834319076093,0.59,0.018,1.19840810500947e-43,"2","SVIL"
6.90754463910811e-46,5.5367388506004,0.554,0.013,1.48360243758764e-41,"2","SMIM22"
1.2794966180332e-45,5.50745661199746,0.614,0.031,2.74810283621172e-41,"2","AZGP1"
5.60313514425474e-45,4.16287837818029,0.723,0.071,1.20344136628303e-40,"2","CDKN2A"
1.72687814081947e-44,4.92288399662677,0.578,0.024,3.70898887085207e-40,"2","PAWR"
5.3616123006505e-43,6.37665218220035,0.554,0.024,1.15156708993372e-38,"2","AKR1C3"
1.04306738762849e-41,5.01616820190251,0.735,0.105,2.24030013514846e-37,"2","MIR205HG"
5.69392915136111e-41,5.83392649145226,0.663,0.071,1.22294210312934e-36,"2","TCIM"
1.0790217019263e-40,4.29096178473595,0.651,0.06,2.31752281139731e-36,"2","CCND1"
1.95288624841901e-40,3.79044300102354,0.747,0.11,4.19440908435435e-36,"2","NUPR1"
5.11015915483845e-39,5.5090874756707,0.53,0.026,1.0975599832762e-34,"2","CP"
3.62696421970278e-38,4.42216458538628,0.771,0.142,7.78999375107762e-34,"2","KRT19"
6.18370064686996e-38,6.88682382599401,0.434,0.005,1.32813522493473e-33,"2","AKR1B10"
8.258620731071e-38,4.99642797469341,0.53,0.029,1.77378656061943e-33,"2","CLDN3"
1.64652532328985e-37,4.19282782853145,0.747,0.129,3.53640708936195e-33,"2","BEX3"
2.94111548862656e-37,4.95350967289759,0.53,0.031,6.31692784647212e-33,"2","KRT7"
1.07446840606976e-36,4.30535423908633,0.699,0.118,2.30774324255663e-32,"2","ASPH"
1.69500914645711e-36,3.76367182641494,0.855,0.241,3.64054064476058e-32,"2","SOX4"
4.58996622203531e-36,3.77698032182719,0.783,0.173,9.85832945168743e-32,"2","TXNRD1"
4.77224172078887e-36,8.73486667045458,0.386,0,1.02498207679103e-31,"2","KRTCAP3"
7.60096000980637e-36,5.81038340710895,0.458,0.016,1.63253419090621e-31,"2","SYCP2"
9.9267818969922e-36,5.18710566818626,0.554,0.045,2.13207421583598e-31,"2","CES1"
1.13239997565756e-35,6.58536798126785,0.41,0.005,2.43216866771731e-31,"2","TPD52L1"
1.21902329322429e-35,4.94209561496226,0.542,0.042,2.61821822918713e-31,"2","FXYD3"
4.22004470700606e-35,4.50360303595401,0.723,0.139,9.06381202170761e-31,"2","HES1"
6.68763765094182e-35,9.10518047880827,0.373,0,1.43637081466928e-30,"2","MYEOV"
